,Unnamed: 0,metadata_json,PMCIDS,yake_keywords_from_results
0,0,C:\Users\shweata\openDiagram\physchem\liion\PMC7040616\eupmc_result.json,PMC7040616,"['LLZNO ceramic', 'LLZNO', 'LLZNO powder', 'Figure', 'submicron LLZNO', 'ionic conductivity', 'total ionic', 'ceramic pellets', 'sintering', 'ceramic']"
1,1,C:\Users\shweata\openDiagram\physchem\liion\PMC7040742\eupmc_result.json,PMC7040742,[]
2,2,C:\Users\shweata\openDiagram\physchem\liion\PMC7048421\eupmc_result.json,PMC7048421,"['SEB cells', 'SEB cell', 'SEB', 'baseline cell', 'cell', 'cells', 'Fig.', 'baseline', 'temperature', 'TAP']"
3,3,C:\Users\shweata\openDiagram\physchem\liion\PMC7052225\eupmc_result.json,PMC7052225,"['Fig.', 'LFP', 'LTO', 'electrode', 'PTCDA', 'LFP electrode', 'electrodes', 'PTCDA electrodes', 'active material', 'capacity']"
4,4,C:\Users\shweata\openDiagram\physchem\liion\PMC7052325\eupmc_result.json,PMC7052325,[]
5,5,C:\Users\shweata\openDiagram\physchem\liion\PMC7052380\eupmc_result.json,PMC7052380,"['LiFePO', 'graphene', 'graphene composites', 'graphene oxide', 'Figure', 'composites', 'graphene sheets', 'Structural Analysis', 'carbon', 'shown']"
6,6,C:\Users\shweata\openDiagram\physchem\liion\PMC7055568\eupmc_result.json,PMC7055568,[]
7,7,C:\Users\shweata\openDiagram\physchem\liion\PMC7055569\eupmc_result.json,PMC7055569,[]
8,8,C:\Users\shweata\openDiagram\physchem\liion\PMC7057695\eupmc_result.json,PMC7057695,"['SOD', 'open-circuit voltage', 'Discussion Figure', 'Figure', 'SODs', 'voltage', 'open-circuit', 'change', 'SOD range', 'reaction']"
9,9,C:\Users\shweata\openDiagram\physchem\liion\PMC7058583\eupmc_result.json,PMC7058583,"['MoS', 'flower-like MoS', 'commercial MoS', 'flower-like composites', 'Discussion Synthesis', 'flower-like', 'Figure', 'Characterization Figure', 'composites', 'sandwich composites']"
10,10,C:\Users\shweata\openDiagram\physchem\liion\PMC7065120\eupmc_result.json,PMC7065120,"['NCN', 'Figure', 'FeNCN', 'voltage', 'voltage profile', 'intermediate compounds', 'LIB', 'compounds', 'intermediate', 'voltage plateau']"
11,11,C:\Users\shweata\openDiagram\physchem\liion\PMC7066221\eupmc_result.json,PMC7066221,"['Figure', 'cathode', 'Mn-based cathode', 'cobalt-modified δ-MnO', 'δ-MnO', 'deposition', 'capacity', 'cobalt', 'Cobalt Components', 'Figures']"
12,12,C:\Users\shweata\openDiagram\physchem\liion\PMC7066648\eupmc_result.json,PMC7066648,"['yarn-shaped LIB', 'Figure', 'LIB', 'gel electrolyte', 'yarn-shaped', 'Figures', 'SSY', 'electrolyte', 'surface', 'gel']"
13,13,C:\Users\shweata\openDiagram\physchem\liion\PMC7067258\eupmc_result.json,PMC7067258,"['HHTP', 'DMF', 'Fig.', 'HAT-CN', 'DMF molecules', 'HHTP molecule', 'HAT-CN molecules', 'molecules', 'DMF removal', 'structure']"
14,14,C:\Users\shweata\openDiagram\physchem\liion\PMC7070767\eupmc_result.json,PMC7070767,"['sample', 'samples', 'diffraction lines', 'size', 'silicon', 'diffraction', 'particle size', 'Figure', 'lines', 'pore size']"
15,15,C:\Users\shweata\openDiagram\physchem\liion\PMC7074852\eupmc_result.json,PMC7074852,"['NiCo', 'CuCo', 'Figure', 'peaks', 'anode materials', 'anode', 'peak', 'materials', 'anode peaks', 'capacity']"
16,16,C:\Users\shweata\openDiagram\physchem\liion\PMC7075112\eupmc_result.json,PMC7075112,"['HPC anode', 'HPC', 'Figure', 'anode', 'HPC electrode', 'cycling', 'pores', 'HPC anodes', 'porous structure', 'carbon']"
17,17,C:\Users\shweata\openDiagram\physchem\liion\PMC7075132\eupmc_result.json,PMC7075132,"['B-SFO', 'Figure', 'SnO', 'carbon', 'B-SFO electrodes', 'electrode', 'capacity', 'metal', 'carbon matrix', 'carbon layers']"
18,18,C:\Users\shweata\openDiagram\physchem\liion\PMC7080552\eupmc_result.json,PMC7080552,"['Supporting Information', 'Figure', 'Composite', 'LiB', 'Supporting', 'Information', 'composite anode', 'LiB skeleton', 'LiB compound', 'LiB fibers']"
